sample_id,sampling_date,soil_depth,land_performance,current_crop,previous_crop,production_type,extraction_date,subfield_name,planting_date,yield ((boxes of 24 heads of lettuce)/acre)
sample_001,12/3/2016,more than 12 inches,high,lettuce_romaine,,conventional,,field 522 healthy,,878
sample_002,12/3/2016,more than 12 inches,high,lettuce_romaine,,conventional,,field 522 not healthy,,568
sample_003,12/3/2016,more than 12 inches,high,lettuce_romaine,,conventional,,field 522 not healthy,,432
sample_004,12/3/2016,more than 12 inches,high,lettuce_romaine,,conventional,,field 522 not healthy,,449
sample_005,12/3/2016,more than 12 inches,high,lettuce_romaine,,conventional,,field 502 not healthy,,532
sample_006,12/3/2016,more than 12 inches,high,lettuce_romaine,,conventional,,field 502 not healthy,,622
sample_007,12/3/2016,more than 12 inches,high,lettuce_romaine,,conventional,,field 502 not healthy,,596
sample_008,12/3/2016,more than 12 inches,high,lettuce_romaine,,conventional,,field 502 healthy,,489
sample_009,12/3/2016,more than 12 inches,high,lettuce_romaine,,conventional,,field 502 healthy,,997
sample_010,12/3/2016,more than 12 inches,high,lettuce_romaine,,conventional,,field 502 healthy,,810
sample_011,11/29/2016,more than 12 inches,high,lettuce_iceburg,,conventional,,field 508 not healthy,,499
sample_012,11/29/2016,more than 12 inches,high,lettuce_iceburg,,conventional,,field 508 not healthy,,567
sample_013,11/29/2016,more than 12 inches,high,lettuce_iceburg,,conventional,,field 508 not healthy,,608
sample_014,11/29/2016,more than 12 inches,high,lettuce_iceburg,,conventional,,field 508 healthy,,673
sample_015,11/29/2016,more than 12 inches,high,lettuce_iceburg,,conventional,,field 508 healthy,,881
sample_016,11/29/2016,more than 12 inches,high,lettuce_iceburg,,conventional,,field 508 healthy,,800
sample_017,11/29/2016,more than 12 inches,high,lettuce_romaine,,conventional,,field 556 healthy,,569
sample_018,11/29/2016,more than 12 inches,high,lettuce_romaine,,conventional,,field 556 healthy,,883
sample_019,11/29/2016,more than 12 inches,high,lettuce_romaine,,conventional,,field 556 healthy,,759
sample_020,11/29/2016,more than 12 inches,high,lettuce_romaine,,conventional,,field 556 not healthy,,680
sample_021,11/29/2016,more than 12 inches,high,lettuce_romaine,,conventional,,field 556 not healthy,,438
sample_022,11/29/2016,more than 12 inches,high,lettuce_romaine,,conventional,,field 556 not healthy,,529
sample_023,11/29/2016,more than 12 inches,high,lettuce_iceburg,,conventional,12-12-16,field 567 healthy,,652
sample_024,11/29/2016,more than 12 inches,high,lettuce_iceburg,,conventional,12-12-16,field 567 healthy,,856
sample_025,11/29/2016,more than 12 inches,high,lettuce_iceburg,,conventional,12-12-16,field 567 healthy,,907
